Review,Score
"
	Добрый день, думаю, что многих, как и меня волнует массовое мошенничество. Поэтому 25 февраля я решил обратится в чат-поддержку Альфа-банка, где спросил: «Можете подробно рассказать какие существуют способы защиты карты». 

Мне ответила сотрудница Оксана, которая через короткое время предоставила всю интересующую меня информацию. Больше всего меня интересовало «мошеннические действия третьих лиц» и «несанкционированные снятие денег со счёта карты», Альфа-банк предоставляет защиту по этим категориям мошенничества, их программа называется «Защищённая карта», она позволяет защитить карты и занимается страхованием убытков от мошенничества. 

Мне очень понравилось, то что ежемесячная плата составляет от 200р до 800р, для меня эта сумма приемлемая, ведь она защищает деньги на моей карте.

Еще мне понравился быстрый и профессиональный ответ сотрудницы Оксаны. Так же хочу похвалить Альфа-банк за таких квалифицированных сотрудников и программу «Защищённая карта» 
",5
"
	25 февраля 2024 года я узнал что в Альфа-банке есть накопительный счет, в котором начисляются проценты по остатку. Я заинтересовался и решил обратиться в поддержку чтобы узнать подробнее про накопительный счет. В 23:10 на связь со мной вышла консультант Анастасия, после того как она уточнила мой вопрос, она мне рассказала следующее: что такое Альфа-счет, какие существуют приветственные надбавки, как начисляются проценты, а также как расчитываются проценты и суммруются в день выплаты на банковский счет на ежедневный остаток.
Консультацией остался доволен, всё быстро, понятно и без лишней информации !
",5
"
	Где-то прочитал, что далеко не во всех отделениях Альфа-Банка есть специалисты, которые могут установить приложение на Iphone, однако это оказалось не так. После покупки нового телефона мне потребовалось заново установить приложение, и, конечно же, я задался вопросом - где и как это сделать. 

В этом мне помогла Кристина, которая, несмотря на поздний час - я спохватился только ночью и написал в поддержку примерно в 2 часа ночи 26.02.2024, - ответила мне крайне оперативно и по делу, объяснив, что приложение можно установить в любом отделении банка. Кроме того, девушка подсказала ближайший адрес к моей работе, за что выражаю огромную благодарность - за сэкономленное время и грамотное решение. Крайне положительно оцениваю работу сотрудников онлайн-чата. 
",5
"
	2 января 2024 года мне захотелось открыть в альфа-банке счет в долларах, я обратился в поддержку и спустя всего 1 минуту на связь со мной вышла консультант Анастасия, меня перевели к профильному специалисту Кириллу, он уточнил какая мне нужна секция в брокерском счете, я уточнил что мне нужен именно банковский счет, а не брокерский. После уточнения Кирилл перевел меня на банковского специалиста Анастасию, которая мне дала пошаговую инструкцию как открыть счет прямо в приложении альфа банка, рассказала в каких разделах находится нужная мне функция и как открыть счет который я ищу.
Как всегда консультацией очень доволен, всё быстро и понятно! 
",5
"
	Данным банком я пользуюсь уже около года и я не ошибился, что выбрал Альфа банк, поддержка отвечает довольно быстро и подробно ответит на любой вопрос, удобный интерфейс и повышенный кешбек. Приведу недавный пример общения с сотрудником альфа банка:

У меня возникло вопрос об поступлении кэшбека, т.к. я не понимал почему он  не зачислиыается сразу. Ответ на мой вопрос я получаю в течение 2 минут. Сотрудник ответил мне на вопрос о поступлении кэшбека сразу и очень профессионально! Сотрудник банка был очень внимателен, оперативно разъяснил все детали и объяснил, как работает система начисления кэшбека. Я получил исчерпывающую информацию и уверенность в том, что мой кэшбек будет начислен вовремя. Большое спасибо за отличный сервис и качественное обслуживание!

Мне понравилось, что сотрудник проявил себя как настоящий профессионал, отличающийся высокой скоростью и качеством ответов. Его оперативность и грамотные решения проблем позволили быстро и эффективно решить возникшие вопросы. Благодаря его отзывчивости и пониманию клиента, общение было приятным и продуктивным. Очень доволен работой этого сотрудника и надеюсь на дальнейшее сотрудничество!

  Я Обращался  в онлайн чат
 Дата обращения: 25 февраля 2024 года в 22:10
  Сотрудник ответивший мне зовут Яна
",5
"
	Здравствуйте! 25 февраля в 21:09 обратился в онлайн чат Альфа банка по вопросу неначисленного кэшбэка от партнёра ""Маркет Деливери"", где обещали 10% от суммы покупок. Буквально в течение минуты мне ответила оператор Самира. Она проверила информацию, составила обращение по моему вопросу и уже через 16!!!! минут мне вернули 120 рублей кэшбэка. Я был в приятном шоке от такой оперативности))) Большое спасибо Самире и Альфа Банку!  Вы - Банк номер 1 для меня))) Также высылаю на адрес responses@banki.ru скрины общения с оператором и поступления средств
",4
"
	Добрый день ! Являюсь клиентов альфа банка с недавних пор ,и хочу выразить огромную благодарность за быстрые ответы в чате !

25 февраля 2024 года в 20:24 обратилась в очередной раз в чат ,оператор Марина ответила мне на все вопросы ,рассказала как получить альфа стикер .Посмотрела есть ли платные подписки у меня .

спасиьо за ваше трепетное Отношение к клиентам ! 
",5
"
	Заказала доставку премиальной карты, понравились условия и все ""плюшки"" которые она давала. 

По итогу встреча с курьером была назначена 25.02.2024. В Когда прошел промежуток времени доставки, в которое должен был приехать курьер, я естественно решила ему позвонить, но к сожалению курьер трубку не взял. 

Пришлось писать в банк, на что ответили, что во всем сейчас будут разбираться. Курьер пришел с опозданием на 40 минут, выдал мне мою карту и ... у него не оказалось документов для этой карты. Как? Т.е. Пластиковая карта с моими инициалами у него есть, а документов для ее получения нет. как это вообще возможно я так и не поняла. 

По итогу курьер ушел, сказав,что перенесет доставку на завтра, на что я ему сообщила, что завтра уезжаю и смогу принять курьера только до 10:00 утра. После ухода курьера, решида убедится,что курьер все же перенес доставку,на что в контакт центре ответили что доставка возможна и сегодня с 19:00-21:00. 

Обрадовшись, естественно согласилась и несколько раз переспросила возможно ли это, на что получила положительный ответ. И вот прождавши курьера целый день наступает время доставки, захожу в приложение-перенос на следующий день. 

Пишу в поддержку, что узнать причину, на что мне отвечают""неудобно"". Вот скажите мне альфа банк, а мне удобно сидеть ждать в прямом смысле целый день курьера,и по итогу так и не получить карту? И это карта опять же премиального клиента! О каком премиальном обслуживании может вообще идти речь, если вы просто не можете доставить карту. Просто позор! Не советую, и скорее всего расторгну все договора с вашим банком, за такое хамское обслуживание. 
",1
"
	Недавно, приехав в Москву я столкнулся с проблемой. Мне нужно было снять наличные, но я не знал где это можно сделать. 25 февраля я обратился в поддержку с этим вопросом. Мне быстро ответил специалист Брижит. Мне помогли найти самый ближайший банкомат, а так же предоставили карту с отмеченными банками.
Хочу отметить что вопрос решился буквально за пару минут. Брижит, спасибо!
",5
"
	25.02.24 в 19:13 обратился в онлайн чат, так как мне пришло предложение от банка взять кредит под залог (например квартиры) на 10 лет. Ответил Роман. Мне предложили ставку в 16.5% и меня интересовал вопрос может ли эта ставка измениться за 10 лет. Роман заверил, что ставка будет зафиксирована, а значит инфляция не страшна!
",5
"
	Оформил кредитную карту Билайн, банк за оформление обещал бонус 2000 рублей на связь, с моей стороны все условия были выполнены, все сделал корректно, но банк уже более чем полгода не может выдать бонус. То игнорирует обращения свои же, то отвечает, что корпоративный номер, то еще какие-то отмазки, а клиент выполнил условия. 
Потом на встрече сообщил, что мне НИКАКИЕ смс, страховки не нужны, т.к. договор был подписание через смс, не мог сверить договор на услуги, но в итоге мне сказали, что ничего нет, а в итоге происходит списания, за одно списание мне вернули, а про второе нет, и в обращение ответили, что вернули, а ничего что вернул оператор сразу, а по второму попросил оставить обращение, так оператор ели как передал (с неохотой) в итоге деньги за страховку не вернули. Бонус по карте не был начислен. Ужасный банк, без какого-то сервиса и обслуживания. На вопросы на сайте не отвечает уже с декабря, типо в работе и пропадают.Не понятная клиенториентированность. 
Видимо закрою свои кредитные карты и ухожу из банка, где не ценят своих клиентов. 
",1
"
	Здравствуйте!
Я давно являюсь клиентом Альфа банка и за все время показывал себя только с положительной стороны. Узнала от друга, что можно сделать карту альфа тревел, решила оформить и узнать у оператора в мобильном приложении подробнее про условия премиальной карты.
Написала я в чат 25 февраля приблизительно в 11:45 мой вопрос был (какие действуют условия по карте альфа тревел) ко мне подключился оператор Александр, он чётко и подробно предоставил условия обслуживания, рассказал про лимиты на переводы по СБП, об отсутствии комиссии за переводы, а также предоставил ссылку на официальный сайт банка, на котором подробно описаны условия по карте и можно сразу её оформить, не выходя из дома.
Мне стало интересно а бывает ли кредитная карта альфа тревел, Александр сразу же ответил, что есть такая карта и расписал все лимиты и условия по ней.  
Я очень благодарю Александра за его профессиональный подход к каждому клиенту и подробное разъяснение необходимой информации.
Большое ему спасибо за грамотную и быструю консультацию, весьма удивило что операторы всегда на связи и быстро отвечают даже в выходной день.
Теперь я буду пользоваться только Альфа банком, и советовать его всем своим друзьям! 
Скриншоты диалога отправлю вам на почту.
",5
"
	Добрый день! Хочется оставить отзыв о работе онлайн чата банка,так как взаимодействую с банком чаще всего через него. Поставлю твёрдую 5 за данную работу. Вопросы всегда решаются быстро,операторы оперативно подключаются к вопросу. Могу привести пример: каждый месяц уменьшаю лимит по кредитной карте. Решение вопроса занимает менее часа. Например: 21 января а 11.35  написала в чат по данному вопросу, в 12.22 подключился оператор Владимир, в 12.27 мой вопрос был решён. Без лишних вопросов и не выходя из дома. И так всегда (в декабря операция была решена за 15 минут). Это большой плюс,что даже при загруженности, вопрос решается и не приходит отписка,что напишите позже.
",5
"
	Добрый день!
Хочу оставить положительный отзыв о работе сотрудников альфа-банка и похвалить их за быструю помощь в разрешении моего вопроса. 22 февраля 2024 года я в чате поддержки в мобильном приложении Альфа-банк обратилась к специалистам службы поддержки с вопросом о возможности снять наличные деньги со своей кредитной карты. К разговору подключился специалист Сергей, который смог полностью ответить на мои вопросы и подробно обьяснил мне как будет выглядеть снятие денег с моей нынешней кредитной карты. 

По моей действующей карте я смогу снять до 50 000 рублей без комиссии за снятие, но в грейс период эта сумма не попадет. Как дополнительную возможность чтобы снять деньги с кредитной карты и попасть в грейс период ( то есть без процентов за их снятие и использование) Сергей предложил мне оформить еще одну кредитную карту, по которой я смогу это сделать. 

Эта информация была для меня очень полезна. Спасибо Сергею за развернутый и информативный ответ на мои вопросы.
",5
"
	Заказала дебетовую карту через сайт,  в назначенное время приехал сотрудник вручил карту. Сфотографировал меня с конвертом и паспорт. Нужно было скачать и установить приложение Альфа-банк. И одновремеено нужно было подписать(дать свое согласие) электронно документы которые пришли по ссылке, оказалось это документы не к моей дебетовой карте, а мое одобрение, что ну меня будет кредит (!),  пока ""подписывали"" кредит скачалось приложение. 

В которое я несмогла зайти. Сотрудник на связи в техпотдержкой ничем несмогли мне помочь. я думаю что это у них постоянная схема. В итоге нужно найти время, чтобы идти в отделение банка и полносью отказатся от услуг банка. 
",1
"
	Здравствуйте! 
Я 22.02.24 рекомендовала дебетовую карту своей маме за которую обещали кэшбэк-бонус мне 1500,а маме 500 руб. Выполнили все условия, а в итоге у меня высвечивается, что я получу всего лишь 500, вместо 1500,почему так? 
Я пользуюсь картой уже четвëртый месяц мне нравится, но эта ситуация разочаровала, надеюсь вы еë решите! 
",5
"
	Пару дней назад мне исполнилось 20 лет, соответственно мне по закону нужно будет идти в мфц менять паспорт. Я поразмыслил, что при замене паспорта новые данные надо как-то передать в банк. Чтобы узнать как это сделать написал вопрос в чат мобильного приложения.
В 13:56 24 февраля 2024 мне ответила оператор Римма. Она написала, что для этого нужно прийти в отделение, взяв с собой новый паспорт, документ на основании которого произошли изменения, карту банка и мобильный телефон с номером, который привязан к банку. Я поинтересовался, документ ""на основании которого произошли изменения"" выдаст мфц при замене паспорта? Римма ответила, что да. Также я попросил скинуть мне время работы отделения банка в Таганроге. Оператор отправила полный график работы и ссылку на сайт, где можно найти отделения на карте и самому посмотреть график.
Благодарен оператору за краткие и полные ответы на мои вопросы.
",5
"
	Я оформил кредитную Альфа карту 365 дней без %. По прошествии месяца для совершения льготных покупок, обнаружил списание средств в размере 1,5% от суммы задолженности по карте. Оказывается это страхование владельца, которое не было отключено при оформлении карты. Обратился в онлайн чате к оператору Полина, онасоставила обращение, которое сразу же было решено положительно - страхование отключили, сумму комиссии вернули на счет. 
Браво, отличная работа команды Альфа банка. 
",5
"
	12 декабря 2023 г. в 12:23 я обратился в контактный центр Альфа-банка за консультацией по возврату излишнеперечисленных денежных средств на оплату ЖКХ услуг. Меня оперативно связали с нужным специалистом, которому я объяснил, что дважды случайно оплатил одну и ту же ЖКХ услугу (а второй раз ещё и с пеней и госпошлиной) кредитной картой Альфа-банка через приложение Альфа-банка. 

Сотрудник контактного центра подробно проконсультировал меня по необходимым действиям в сложившейся ситуации (необходимо написать заявление в компанию ЖКХ на возврат излишнеперечисленных денежных средств с приложением квитанции об оплате и/или платежного поручения). 

Платежное поручение мне оперативно прислали на электронную почту. После выполнения мною необходимых действий ровно через 1 месяц -12 января 2024 г. я получил переплаченную сумму обратно на кредитную карту (за вычетом ЖКХ компанией госпошлины). Обслуживанием банка остался доволен. Вопрос решен.
",5
"
	Всем привет!)

Пишу отзыв о банке ""Альфа банк"" и речь пойдет о их быстрой отзывчивости в тех поддержке. У меня возникла проблема со списанием денежных средств по подключенной фишке с переводами, но я ей не пользовался. 

В итоге решил написать в тех поддержку на сайте в личном кабинете(так как к сожалению приложения нет в app store) и вуаля через 3-4 минуты мне отвечает консультант Кристина и помогла решить данную проблему путем подключения другого тарифа и возварата денежных средств на баланс счета. 

Пользуюсь многими банками, но на удивление альфа банк это единственный банк, в котором мне готовы ответить быстро, например, чтобы узнать по условиям платежного стикера от ""Газпромбанк"" в чате банка ""Газпромбанк"" мне отвечали около 40-45 минут в сумме.

Исходя из моего опыта хочу поблагодарить сотрудников тех поддержки ""Альфабанк"", а именно за их быстродействие, быстрое решение проблемы и просто за то что они есть😘❤️
",5
"
	Поступил звонок с незнакомого номера 20.02.24г. Я ответила и мне представились Альфа-банком. Меня это смутило, так как номер обычный мобильный. По телефону мне рассказывали про мою комбо-карту, так как кредитный лимит я не активировала. Я старалась отвечать осторожно, так как знаю, что мошенникам нельзя отвечать ДА и НЕТ. 

Я отключилась и в 14:54 написала в онлайн-чат, чтобы узнать, они ли это, отправила номер телефона, с которого звонили. Чтобы в будущем знать и отвечать на этот номер.Мне ответила оператор Серине, проверила номер в базе, и сказала, что это действительно звонили сотрудники банка.
Спасибо за информацию, теперь буду знать)
",5
"
	Только стала писать похвальные отзывы Альфа банка, как вчера произошёл небольшой непонятный сюрприз. Вчера зашла в приложение и увидела очень приятный бонус. В приложении в рекомендациях высветилось предложение оформить премиальную карту бесплатно и навсегда . Я уже интересовалась условиями оформления карты и очень обрадовалась увиденной информации. 

Стала ее оформлять как в окошке высветилось : Спасибо! Мы записали ваш ответ. И оформить ее не получилось. Стала писать в чат , на что мне ответили , что методом случайной выборки мне просто пришёл опрос. Как я понимаю опрос оформляется по другому , а здесь конкретно доступно оформление . Очень жаль , что банк так дезинформирует. прошу банк составлять опросы в виде опоросов , а не предложений. Поэтому вместо 5 ставою 4
",4
"
	Очередная история о том, как важно быть начеку. С банком отношения достаточно полюбовные, но уже не первый раз, приходит сообщение о списании комиссии, что вызывает вопросы. Списали 159 рублей за услугу ""Альфа-чек"". Название для меня было тоже в новинку, ведь я не сторонник дополнительных услуг, а тут так красиво написано.Смотрю историю операций, действительно, списание произведено, еще и с кредитной карты. 

Хорошо, существует онлайн-чат. Хотя о компетенции сотрудников я бы поспорила, но это другая история. Первым мой запрос отработал робот, к нему вопросов нет, зафиксировал, отправил, поблагодарил. Но я предпочитаю живое общение, поэтому ожидала ответа менеджера. На мой вопрос, что же это за услуга, мне были сообщено, что она была подключена с выдачей кредитной карты, но на минутку, я никаких соглашений не подписывала, это раз. 

А два, так это то, что списали комиссию за январь 2024 года, хотя карты была получена в октябре 2023. И ранее не было подобных списаний. В итоге, уточнив детали операций и моего согласия на данную услугу (которое я не давала), мне компенсировали денежные средства. Оперативно, быстро, здорово. Но уважаемый банк, будем честны, извинения за списание средств за приписанную услугу, это не тот уровень взаимодействия со своими клиентами. Тут конечно возникает вопрос в том, а сколько людей не заметили такие списания... 
В целом работа по возврату быстрая, за что банк хвалю.  
",4
"
	Оформила карту Альфа банка по рекомендации дочери и в первый месяц Получила хороший Кешбек , но ожидала больше. Оплатила в больнице 70000 за операцию и думала получу повышенный Кешбек по карте на всю сумму . Когда насчитали Кешбек оказалось , что начислили только на 50000 рублей. Обратилась к оператору и мне пояснили, что Кешбек начисляют максимально на сумму 50000 рублей. 

Только с февраля сделали 100000 рублей . Мне 70 лет и я не очень владею пользованием приложения. как оказалось информация есть в приложении, но мне ее не видно было и только пояснил оператор. Приятная девочка все объяснила . Знала бы расчиталась бы по другому. В целом банк меня устраивает. Хороший Кешбек удобная карта . Вежливый персонал 
",4
"
	Началось несколько месяцев назад. Начали названивать со своими предложениями и открыть дебетовку, и открыть кредитку, и бизнес счёт, и кредит! На отказы не реагируют.
Решил позвонить им на обе горячие линии, для бизнеса и обычную. Если с бизнесом еще нормально, то с обычной через бота через бота пробиться что-то нереальное! Я 35 минут (!) провисел на линии в попытках пробиться. В итоге его удалось сломать только вопросом о стоимости килограмма платины.
И знаете, что? Они составляют обращение и спрашивают у тебя разрешение на обработку твоих персональных данных! То есть, рекламу мне вливать вам разрешение не нужно?
Но это не самое смешное. Сейчас опять начали названивать. На оба моих номера! Прекрасно вообще.И да, разумеется, клиентом банка я не являюсь.
",1
"
	Случайно заглянула в выписку по карте и увидала списание ежемесячной комиссии за пользование альфа стикером, хотя в условиях прописано, что при тратах от 10000 руб в месяц обслуживание бесплатное. Написала обращение и в чат банка пока оператор искал ответ на вопрос мое обращение рассмотрели и вернули комиссию - оперативно сработано. На все про все ушло минуты 3 😃😃😃😄
думала придется неделю ждать.
а пользоваться самим стикером очень удобно особенно для обладателей айфонов, тк не нужно каждый раз доставать карту, приложил и готово + бонусы и кешбэки по 4 выбранным категориям 🔥🔥🔥
рекомендую 
",4
"
	Столкнулся с проблемой на телефоне жены, не могли сделать скриншот в банковском приложении. Оба являемся клиентами Альфа-Банка. У меня айфон прекрасно делает скриншоты. А у жены - черный экран. Обратился за консультацией в чат по этому вопросу 20 февраля 2024г. Помогла сотрудница банка Ксения. Подсказала, что на телефоне стоит ограничение. И далее рассказала, как его снять не только на Андроиде, но и на айфоне:
Если  Андроид, то в настройках должен быть раздел безопасность и там нужно снять ограничение.
Если  ios, то в настройках именно телефона.
Большое спасибо! Нашел в настройках приложения Альфа-Банка кнопку ""защита от посторонних глаз"". Выключил и скриншоты заработали!
",5
"
	Добрый день! Расскажу о своем опыте взаимодействия с поддержкой альфа банка. Пользуюсь картами уже достаточно давно, но в один день столкнулся с тем, что у меня списалась комиссия за уведомления, лично я не помню, чтобы ее подключал. Не исключаю, что это могло произойти случайно. Написал в поддержку, без лишних вопросов мне отключили эту опцию и вернули деньги, мне даже не пришлось ждать, пока рассмотрят какое-либо обращение. После этого понял, что не зря выбрал именно этот банк.

",5
"
	Сегодня 24.02.2024 Зашла в историю, смотрю произошло списание за услугу 22.02.2024, которую не подключала. Услуга за 149 рублей- комиссия за пакет услуг. Написала  в появившемся окошке оспорить, в течении нескольких минут, вопрос решили, деньги вернули. Спасибо большое. Ни в одном банке, так быстро мой вопрос еще не решали. 
",4
"
	15 декабря 2023 года в 13:27 я обратился в офис Альфа Банка по адресу г.Санкт-Петербург, Лиговский проспект, 73 для того, чтобы обновить свои паспортные данные. 15 декабря я получил свой новый паспорт и решил пойти в отделение банка, чтобы поменять свои паспортные данные, поскольку это важно, иначе могут ограничить некоторые услуги. 

Заходя в офис я сразу оценил приятную атмосферу.  Сразу, что я увидел это чистейший офис и различное количество банкоматов, что очень удобно. После того, как я зашел внутрь меня сразу встретила девушка (имя я не запомнил, к сожалению) и попросила подойти к терминалу, чтобы выбрать услугу, которую я хочу получить. Мне напечатали талон на огромном терминале (что показывает прогрессивность банка в технологиях). 

Затем сразу же мне на телефон поступило уведомление от мобильного приложения банка, что я в офисе и скоро ко мне подойдет сотрудник. Это  вызвало у меня приятное впечатление как банк, действительно, активно смотрит в сторону технологий. Я сел на кресло и стал ждать сотрудника. Пока ждал сотрудника оценил приятный интерьер банка, увидел надпись ""пет френдли"" (что означает можно с животными в офис), меня это также приятно удивило. А еще в офисе сторт кофейный автомат, в котором можно выпить кофе, пока ждешь сотрудника. 

Ждал я около 7 минут, что вызвало у меня небольшой дискомфорт, но я понимал, что большой наплыв клиентов и это нормально. Затем меня подозвала милая девушка с ноутбук, спросила о моей услуге, которую я хочу получить. Я передал паспорт, мне быстро обновили документ (опять же взаимодействие с мобильным приложением) и уходя из офиса, сотрудники вежливо со мной попрощались. Мне понравилось взаимодействие сотрудников с клиентами, это прям очень высокий уровень. Многим банкам только расти до такого. 
",5
"
	Смотрю информацию по кэшбэку в мобильном приложении, всегда доверяя достоверности информации там, как в целом и должно быть. Поэтому когда нужно было оплатить медицинские услуги стоимостью почти 5 тыс посмотрела по каким картам кэшбэк по этой категории. В приложении была информация по двум картам, по моей и детской. Под рукой как раз была детская, ей и оплатила. 

В итоге кэшбэк не начислился, пишу в чат. На что мне отвечают, что нет, по детской карте такого кэшбэка нет. Я кидаю скрин из приложения (прилагаю здесь), где черным по белому написано что по двум картам. В итоге в чате мне отказывают, но В ПРИЛОЖЕНИИ ИНФОРМАЦИЮ КОРРЕКТИРУЮТ, убирая из списка детскую карту. Классно, это как пробить в магазине товар не по ценнику, хотя по закону обязаны!
",4
"
	Я зарплатный клиент Банка уже много лет! Всегда ставлю кэшбек 1% на все покупки! Как оказалось! Кэшбек начисляется с суммы не более 100000Р! Оказывается , банк отказывается начислять сверху 100т.р! Зачем тогда пишут 1%????  Я потратил на ТО машины 579000Р! Мне возврат только 1000Р. Считаю данную ситуацию , вводом в заблуждение клиента!! ( в договоре обслуживания , Банка стоит 100тр за операцию). Просьба разъяснить данную ситуацию!  Люди должны знать, что кэшбек 1% на всё, это не совсем так! 
",4
